#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:dna" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:dna" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter">0.5</parameter>
#            <parameter id="BDBirthRate.t:dna" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:dna" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.dna" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:dna" name="distribution" x="@BDBirthRate.t:dna">
#            <LogNormal id="LogNormal.4" meanInRealSpace="true" name="distr">
#                <parameter id="RealParameter" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="0.0">1000.0</parameter>
#                <parameter id="RealParameter1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="0.0">3.0</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="DeathRatePrior.t:dna" name="distribution" x="@BDDeathRate.t:dna">
#            <Uniform id="Uniform.5" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="fastUcldStdevPrior.c:dna" name="distribution">
#            <parameter id="fastUcldStdev.c:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.2</parameter>
#            <Gamma id="Gamma.10" name="distr">
#                <parameter estimate="false" id="RealParameter.47" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.48" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <prior id="FrequenciesPrior.s:dna" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:dna" name="distribution">
#            <parameter id="kappa.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@dna" id="treeLikelihood.dna" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:dna">
#            <siteModel id="SiteModel.s:dna" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:dna" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:dna" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:dna" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:dna" kappa="@kappa.s:dna" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:dna" id="estimatedFreqs.s:dna" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="FastRelaxedClock.c:dna" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:dna">
#                <LogNormal S="@fastUcldStdev.c:dna" id="FastLogNormalDistributionModel.c:dna" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter3" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="18" id="rateCategories.c:dna" lower="0" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter id="fastUcldMean.c:dna" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	fastUcldMean	fastUcldStdev	BirthDeath	BDBirthRate	BDDeathRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ratesStat.mean	ratesStat.variance	ratesStat.coefficientOfVariation
28000	-5056.706878342985	-5060.065540431787	3.358662088801699	-5060.065540431787	0.25161924718416334	2.2837288356607304	1.0	4.8015313119460665E-4	3.5688342470652827	0.4364419965458725	0.9298617373248766	0.2876154723091547	0.2915160722487557	0.13318323015156616	0.28768522529052365	0.9998857995672269	1.5232631031561472E-7	3.903003604123644E-4
30000	-5060.182053718795	-5061.739597455937	1.5575437371421335	-5061.739597455937	0.2693619628438619	2.8713592447218987	1.0	0.002516986591032126	2.3527806118059074	0.22366643336986558	0.9307302014916685	0.2874921799727953	0.2901245922635359	0.13305260368453944	0.28933062407912963	0.9999993484467057	4.097814222865872E-6	0.002023384132570215
32000	-5059.890262829446	-5061.912488132748	2.0222253033016537	-5061.912488132748	0.24628344858762777	2.724191745857939	1.0	0.0035088131197623215	3.3649818761411563	0.46606943429472325	0.9147203502521791	0.3012775298197223	0.2842849784680373	0.12802256275560817	0.2864149289566325	1.0014031576711293	1.40758431537729E-5	0.0037478269785379413
34000	-5059.144313467618	-5058.591937192951	-0.5523762746672538	-5058.591937192951	0.25080294949917487	2.2514228710103534	1.0	0.14662962105239696	3.8822651294738466	2.3068120626108866	0.7498641234184626	0.28681030554397496	0.28391866807796046	0.12879783285173227	0.30047319352633256	1.0380443602978255	0.026381554259192058	0.15519760978962857
36000	-5062.619996691271	-5061.708674305254	-0.9113223860171362	-5061.708674305254	0.25141590907733846	2.2855729368447335	1.0	0.09371556374872422	4.168681203928782	6.941750601159402	0.2545258842492132	0.2762818387745841	0.2758202496319705	0.14556449761888318	0.3023334139745625	0.9996411598043222	0.007391448917302185	0.08515132898576672
38000	-5059.653281946808	-5059.995879198099	0.3425972512901567	-5059.995879198099	0.27029006157098673	2.27846878820159	1.0	0.13388571795277673	5.167994270259542	3.929771455535896	0.08863792365834197	0.269315359131504	0.2886530261592364	0.141333507142192	0.30069810756706783	0.9654287662220432	0.01644332044687251	0.1322909231587627
40000	-5060.645410181346	-5060.988141134006	0.3427309526594229	-5060.988141134006	0.25153044793271223	2.3505433899126693	1.0	0.1112640897193818	4.5936202432572255	2.299671503664949	0.2559737607373873	0.30639972678243715	0.2733653320225959	0.13923583794573025	0.280999103249237	1.0257694199911274	0.013950394133256393	0.11729888466017833
42000	-5058.411975498336	-5058.869562834736	0.4575873364001595	-5058.869562834736	0.26647025339950653	2.3505433899126693	1.0	0.10729378450096676	4.799329749142126	2.649627090269532	0.6091547331840412	0.2977305593020169	0.28166811569931505	0.12982717144562644	0.29077415355304187	1.0024598848539774	0.01237206349600132	0.10839077096627223
44000	-5058.15769363869	-5058.666730226547	0.5090365878572638	-5058.666730226547	0.247893575624828	2.424926266181205	1.0	0.06426429620802525	5.489654949401453	7.690676240976477	0.0012134437286648893	0.27528763386664157	0.2856028419358232	0.13684097182010843	0.3022685523774271	0.9680576465430695	0.006439389069171121	0.08116940508452732
46000	-5060.569199857201	-5062.490017661037	1.9208178038365356	-5062.490017661037	0.2431867030312479	2.424926266181205	1.0	0.010842533954099329	5.2632458133941675	3.6707059584388233	0.036185318845725484	0.28662500997436274	0.288190666482884	0.1417162819123165	0.2834680416304371	1.0018047436360942	1.1834222090278436E-4	0.010854813716425233
48000	-5058.052737671123	-5059.7999336653065	1.7471959941833404	-5059.7999336653065	0.2431827148615997	2.3024800660160976	1.0	0.023833900597827373	5.861585288748549	5.86075039994806	0.11580824353081683	0.28662500997436274	0.27865928567985243	0.13275061512859698	0.3019650892171881	1.011754397091841	3.2586910742923934E-4	0.01788169900009399
50000	-5062.367668083029	-5062.125520076742	-0.24214800628670408	-5062.125520076742	0.24943457327785348	2.3024800660160976	1.0	0.08298202691076202	4.928759424493206	8.276898479021673	0.004342922967274101	0.2801771911606685	0.27865928567985243	0.14816747140600345	0.2929960517534759	0.9888866282007625	0.00512128653633443	0.07361824733444566
52000	-5057.067650200866	-5056.247215755514	-0.8204344453524142	-5056.247215755514	0.28169873977788634	2.3024800660160976	1.0	0.2576648073753301	4.491609729210361	3.3175294130046424	0.1796220955514199	0.2801771911606685	0.2882385229726517	0.13858823411320426	0.2929960517534759	0.898057889595269	0.054202153954591034	0.2419740377383082
54000	-5058.370752827412	-5059.2740662566885	0.9033134292769134	-5059.2740662566885	0.2601591637364587	2.835876697343173	1.0	0.02727430026379107	4.507149997096817	2.4096473875598625	0.334104303708001	0.2963564895442095	0.29021555567748286	0.13858823411320426	0.2748397206651037	0.9996514266217532	6.740287543983499E-4	0.02583985199222884
